Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Victor Osimhen,Nigeria,Napoli,2010-11,Group stage,Benfica,41,Right Foot,home,2
Luis Suarez,Uruguay,Atletico Madrid,2014-15,Final,Atletico Madrid,76,Penalty, Away,2
Jude Bellingham,England,Real Madrid,2020-21,Semi-final,Inter Milan,56',Penalty,Home,3
Paulo Dybala,Argentina,Juventus,2020-21,Group stage,Juventus,62,Header,home,1
Luka Modric,Croatia,Real Madrid,2019-20,Quarter-final,Sevilla,27,Penalty,Home,1
Bukayo Saka,England,Arsenal,2011-12,Semi-final,Barcelona,14,Free Kick,home,2
Andriy Shevchenko,Ukraine,AC Milan,2023-24,Final,Borussia Dortmund,82,Penalty,Away,3
Memphis Depay,Netherlands,Barcelona,2013-14,Round of 16,,84,Right Foot,Away,2
Erling Haaland,Norway,Manchester City,2015-16,Round of 16,Inter Milan,7,Penalty,home,1
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,Semi-final,Porto,69,right foot, Away,1
  LUKA MODRIC  ,Croatia,Real Madrid,2010-11,Round of 16,Liverpool,32,Header,AWAY,1
Kylian Mbappe,France,Paris Saint-Germain,2020-21,GROUP STAGE,Chelsea,51,Left Foot,Home ,1
Jude Bellingham,England,Real Madrid,2020-21,Quarter-final,Real Madrid,15,Header, Away,3
Lionel Messi,Argentina,Paris Saint-Germain,2017-18,GROUP STAGE,Juventus,69,PENALTY,Away,1
Lionel Messi,Argentina,Barcelona,2015-16,GROUP STAGE,AC Milan,36,Penalty, Away,2
Lionel Messi,Argentina,Barcelona,2012-13,Group Stage,Juventus,43,Right Foot,Home ,2
Bernardo Silva,Portugal,Manchester City,2021-22,Group Stage,Inter Milan,41,Right Foot,Home,1
Vinicius Junior,Brazil,Real Madrid,2015-16,R16,Borussia Dortmund,10,Header,Home ,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2022-23,Final,Ajax,68,PENALTY,Away,3
Harry Kane,England,Tottenham Hotspur,2023-24,R16,Benfica,12,right foot,home,2
Toni Kroos,Germany,Real Madrid,2010-11,Final,Barcelona,56,PENALTY,Home,1
Luis Suarez,Uruguay,Barcelona,2019-20,Quarter-final,Barcelona,17,right foot,Home,1
Vinicius Junior,Brazil,Real Madrid,2020-21,Final,Tottenham Hotspur,54,Penalty,Away,2
Karim Benzema,France,Real Madrid,2015-16,Group stage,Ajax,56,Header,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2018-19,R16,Porto,7,Header,Home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2017-18,Round of 16,Atletico Madrid,60,Free Kick, Away,1
  JUDE BELLINGHAM  ,England,Real Madrid,2015-16,GROUP STAGE,Manchester United,23,Header,Away,2
Raul Gonzalez,Spain,Real Madrid,2012-13,Round of 16,Juventus,67,Header, Away,1
Alessandro Del Piero,Italy,Juventus  ,2020-21,Group stage,Tottenham Hotspur,63,Right Foot,Home ,2
  SERGIO AGUERO  ,Argentina,Manchester City,2019-20,R16,Real Madrid,11,Right Foot,Home,2
Filippo Inzaghi,Italy,AC Milan,2013-14,GROUP STAGE,,63,Penalty,home,3
  HARRY KANE  ,England,Tottenham Hotspur,2022-23,Group stage,,78,Free Kick,AWAY,3
Riyad Mahrez,Algeria,Manchester City,2018-19,R16,Borussia Dortmund,30,Right Foot,home,1
Neymar Jr,Brazil,Paris Saint-Germain,2011-12,Final,Napoli,11,Penalty,Away,1
Memphis Depay,Netherlands,Barcelona,2015-16,Semi-final,Napoli,57,Right Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2013-14,Group stage,Manchester United,88,header,Away,1
Vinicius Junior,Brazil,Real Madrid,2013-14,Semi-final,Paris Saint-Germain,29,Header,Home ,2
Alfredo Di Stefano,Argentina,Real Madrid,2011-12,Quarter-final,Chelsea,32,header,AWAY,1
Robert Lewandowski,Poland,Borussia Dortmund,2012-13,Final,,75,PENALTY,Home ,3
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,R16,Atletico Madrid,6,right foot,home,1
Alessandro Del Piero,Italy,Juventus,2022-23,R16,Porto,44,Left Foot, Away,1
Memphis Depay,Netherlands,Barcelona,2019-20,Group stage,Bayern Munich,3,Free Kick,home,2
Andriy Shevchenko,Ukraine,Chelsea,2010-11,Quarter-final,,95,right foot,AWAY,3
Kylian Mbappe,France,Real Madrid,2019-20,R16,Ajax,22,Right Foot,Away,3
Neymar Jr,Brazil,Barcelona,2021-22,Group stage,Bayern Munich,29,Free Kick,home,1
Sergio Aguero,Argentina,Manchester City,2020-21,R16,Paris Saint-Germain,36,right foot,Home ,2
Antoine Griezmann,France,Atletico Madrid,2011-12,Round of 16,Ajax,70,PENALTY, Away,1
Alessandro Del Piero,Italy,Juventus,2014-15,GROUP STAGE,Porto,50,header,Away,3
  KEVIN DE BRUYNE  ,Belgium,Manchester City,2012-13,Semi-final,Bayern Munich,73,Header, Away,2
Bukayo Saka,England,Arsenal,2021-22,GROUP STAGE,Benfica,45,PENALTY, Away,2
Alfredo Di Stefano,Argentina,Real Madrid,2023-24,Group stage,Juventus,74,Free Kick,AWAY,1
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Quarter-final,Bayern Munich,,Free Kick, Away,3
Luka Modric,Croatia,Real Madrid,2019-20,Quarter-final,,87,PENALTY,Away,2
Cristiano Ronaldo,Portugal,Real Madrid,2022-23,Group Stage,,49,Header,Home,3
Vinicius Junior,Brazil,Real Madrid,2019-20,GROUP STAGE,Real Madrid,69,PENALTY,Home ,3
Antoine Griezmann,France,Atletico Madrid,2011-12,Quarter-final,Atletico Madrid,36,Right Foot,home,2
Filippo Inzaghi,Italy,AC Milan,2019-20,R16,Manchester City,11,Right Foot,AWAY,3
Erling Haaland,Norway,Manchester City,2015-16,Round of 16,AC Milan,12,Penalty,Home ,1
  RAUL GONZALEZ  ,Spain,Real Madrid,2018-19,Round of 16,Arsenal,93,PENALTY,Away,3
Luka Modric,Croatia,Real Madrid,2014-15,R16,Benfica,30,Left Foot,home,2
Antoine Griezmann,France,Atletico Madrid,2020-21,Quarter-final,Liverpool,95,Penalty,Home ,2
Robert Lewandowski,Poland,Borussia Dortmund,2021-22,Semi-final,Barcelona,79,Left Foot,Home,2
Luka Modric,,Real Madrid,2022-23,Group stage,Tottenham Hotspur,65',Header,AWAY,1
Antoine Griezmann,France,Atletico Madrid,2017-18,Semi-final,Manchester City,21,Left Foot,AWAY,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2017-18,Group Stage,Benfica,58,Penalty,home,1
Luka Modric,Croatia,Real Madrid,2013-14,Final,Manchester United,15,Free Kick,Home,1
Raul Gonzalez,Spain,Real Madrid,2018-19,Group Stage,Chelsea,23,right foot,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Quarter-final,Ajax,51,header,Home,1
Toni Kroos,Germany,Real Madrid,2012-13,Final,Manchester City,2,Right Foot,Home ,1
Erling Haaland,Norway,Manchester City,2010-11,Group Stage,Inter Milan,10,Left Foot,home,1
Alessandro Del Piero,Italy,Juventus,2011-12,Semi-final,Manchester United,34,Penalty,AWAY,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2020-21,Group stage,Bayern Munich,88,Header, Away,2
Luka Modric,Croatia,Real Madrid,2021-22,Round of 16,,12,Left Foot,Home,1
Antoine Griezmann,France,Atletico Madrid,2019-20,Group Stage,Real Madrid,,Right Foot,Home,2
Luka Modric,Croatia,Real Madrid,2023-24,Semi-final,Benfica,23,Penalty,Home ,1
Toni Kroos,Germany,Real Madrid,2012-13,GROUP STAGE,Barcelona,30,PENALTY,Home ,1
Thomas Muller,Germany,Bayern Munich,2014-15,Round of 16,Manchester City,90',Header,AWAY,3
Vinicius Junior,Brazil,Real Madrid,2015-16,Quarter-final,Atletico Madrid,31,PENALTY,AWAY,1
Alessandro Del Piero,Italy,Juventus,2019-20,GROUP STAGE,Barcelona,62,Left Foot, Away,1
Bukayo Saka,England,Arsenal,2010-11,R16,Inter Milan,75,Penalty,Away,2
Thomas Muller,Germany,Bayern Munich,2010-11,GROUP STAGE,,10,header,Away,3
Memphis Depay,Netherlands,Barcelona,2012-13,R16,Inter Milan,13,Right Foot,Away,2
  FERNANDO TORRES  ,Spain,Chelsea,2019-20,Semi-final,Real Madrid,89,Left Foot, Away,1
Kevin De Bruyne,Belgium,Manchester City,2016-17,Quarter-final,Manchester United,20,Header,Away,1
Sadio Mane,Senegal,Liverpool,2012-13,Final,Manchester City,39,Free Kick,AWAY,1
Luka Modric,Croatia,Real Madrid,2019-20,Round of 16,,31,Left Foot,Home,1
Joshua Kimmich,Germany,Bayern Munich,2021-22,GROUP STAGE,,84,Free Kick, Away,2
  RUUD VAN NISTELROOY  ,Netherlands,Real Madrid,2013-14,Group Stage,Liverpool,83,Left Foot,Home ,1
Julian Alvarez,Argentina,Manchester City,2019-20,R16,Paris Saint-Germain,72,Penalty,Away,1
Karim Benzema,France,Real Madrid,2018-19,Group stage,Napoli,90,Left Foot,home,1
